sharedLLM	MGspeLLM	MDMspeLLM
NA	NA	Avpi1
NA	NA	Got1
NA	NA	Erlin1
NA	NA	Bloc1s2
NA	NA	Scd3
NA	NA	Scd4
NA	NA	Scd1
NA	NA	Nfkb2
NA	NA	As3mt
NA	NA	Neurl1a
NA	NA	Dusp5
NA	NA	Pnlip
NA	NA	Fam107b
NA	NA	Prpf18
NA	NA	Mcm10
NA	NA	Il2ra
NA	NA	Plxdc2
NA	NA	Pip4k2a
NA	NA	Msrb2
NA	NA	Pnpla7
NA	NA	Tprn
NA	NA	Dpp7
NA	NA	Uap1l1
NA	NA	Ajm1
NA	NA	Nacc2
NA	NA	Med22
NA	NA	Rxra
NA	NA	Olfm1
NA	NA	Lrrc8a
NA	NA	Dolpp1
NA	NA	Crat
NA	NA	Fnbp1
NA	NA	Ass1
NA	NA	St6galnac4
NA	NA	Ak1
NA	NA	Traf1
NA	NA	Ggta1
NA	NA	Ptgs1
NA	NA	Nek6
NA	NA	Kynu
NA	NA	Arhgap15
NA	NA	Rnd3
NA	NA	Nr4a2
NA	NA	Gpd2
NA	NA	Cytip
NA	NA	Pkp4
NA	NA	Baz2b
NA	NA	Ly75
NA	NA	Cers6
NA	NA	Klhl23
NA	NA	Dync1i2
NA	NA	Itga6
NA	NA	Osbpl6
NA	NA	Itga4
NA	NA	Tfpi
NA	NA	Tmx2
NA	NA	Slc43a3
NA	NA	Rapsn
NA	NA	Madd
NA	NA	Acp2
NA	NA	Ckap5
NA	NA	1700029I15Rik
NA	NA	Chst1
NA	NA	Trp53i11
NA	NA	Tspan18
NA	NA	Commd9
NA	NA	Bub1b
NA	NA	Knstrn
NA	NA	Spint1
NA	NA	Chp1
NA	NA	Nusap1
NA	NA	Ehd4
NA	NA	Zfp106
NA	NA	Sord
NA	NA	Sema6d
NA	NA	Atp8b4
NA	NA	Usp8
NA	NA	Dusp2
NA	NA	Bcl2l11
NA	NA	Mertk
NA	NA	Zc3h6
NA	NA	Ckap2l
NA	NA	Sirpa
NA	NA	Slc4a11
NA	NA	Gfra4
NA	NA	Mavs
NA	NA	Flrt3
NA	NA	Dstn
NA	NA	Rin2
NA	NA	Kiz
NA	NA	Thbd
NA	NA	Cst7
NA	NA	Apmap
NA	NA	Acss1
NA	NA	Abhd12
NA	NA	Ninl
NA	NA	Sdcbp2
NA	NA	Fam110a
NA	NA	Slc52a3
NA	NA	Bcl2l1
NA	NA	Acss2
NA	NA	Ergic3
NA	NA	Sla2
NA	NA	Samhd1
NA	NA	Lbp
NA	NA	Ppp1r16b
NA	NA	Serinc3
NA	NA	Ctsa
NA	NA	Mmp9
NA	NA	Cd40
NA	NA	Ocstamp
NA	NA	Sulf2
NA	NA	Ptgis
NA	NA	B4galt5
NA	NA	Rbm38
NA	NA	Ctsz
NA	NA	Ppdpf
NA	NA	Helz2
NA	NA	Zbtb46
NA	NA	Hey1
NA	NA	Car2
NA	NA	Gm9733
NA	NA	Sirpb1a
NA	NA	Cyp7b1
NA	NA	Cp
NA	NA	Pld1
NA	NA	Gnb4
NA	NA	Ccna2
NA	NA	Nbea
NA	NA	Gpr171
NA	NA	P2ry13
NA	NA	P2ry12
NA	NA	Rap2b
NA	NA	Tiparp
NA	NA	Mfsd1
NA	NA	B3galnt1
NA	NA	Fnip2
NA	NA	Etfdh
NA	NA	Tmem144
NA	NA	Gria2
NA	NA	Pdgfc
NA	NA	Tmem131l
NA	NA	Rps3a1
NA	NA	Fcrls
NA	NA	Fcrl1
NA	NA	Etv3
NA	NA	Isg20l2
NA	NA	Glmp
NA	NA	Syt11
NA	NA	Gba
NA	NA	Pmvk
NA	NA	Rps27
NA	NA	Crtc2
NA	NA	S100a6
NA	NA	S100a9
NA	NA	S100a11
NA	NA	S100a10
NA	NA	Ctsk
NA	NA	Nudt17
NA	NA	Notch2
NA	NA	Phgdh
NA	NA	Cd101
NA	NA	Slc22a15
NA	NA	Olfml3
NA	NA	Hipk1
NA	NA	Ppm1j
NA	NA	Chil3
NA	NA	Dram2
NA	NA	Csf1
NA	NA	Gstm5
NA	NA	Gstm1
NA	NA	Sort1
NA	NA	Gpsm2
NA	NA	Col11a1
NA	NA	S1pr1
NA	NA	Vcam1
NA	NA	Cdc14a
NA	NA	Alg14
NA	NA	Abcd3
NA	NA	Bcar3
